rating,title,text,date
2,(No title),"Withdraw section not satisfied ,Kite is much better",2026-06-26
5,(No title),best app इस्तमाल करने में आसान,2026-06-26
5,(No title),nice app.,2026-06-26
5,(No title),very nice easy handled software,2026-06-26
5,(No title),Helpe full & nice super app thnx Groww,2026-06-26
5,(No title),super 💐💐,2026-06-26
5,(No title),very useful,2026-06-26
4,(No title),"Your app is really good, but it is lacking international markets. I want to invest in American and Japanese stocks as well. There is no AI in your app, which is a must have feature. AI would provide different options strategies, detailed analysis of stocks, and company earnings analysis. Nowadays, I have stopped reading earnings reports and rely on AI for that. Also, please add AI alerts for stocks that give instant notifications about any news regarding a stock.Include Multibagger screener ^_^",2026-06-26
5,(No title),good,2026-06-26
5,(No title),good,2026-06-26
5,(No title),very good app,2026-06-26
5,(No title),very useful app,2026-06-26
5,(No title),nice investment app try for you,2026-06-26
5,(No title),good apps and used esily,2026-06-26
1,(No title),please refund my deducted amount of sip,2026-06-26
2,(No title),"In my experience, Groww is better for mutual fund investors than active traders. The trading charges and overall costs feel higher compared to platforms like Zerodha and Angel One. If you are a serious trader, there are better alternatives available. However, for long-term mutual fund investing, Groww is simple and easy to use.",2026-06-26
5,(No title),good,2026-06-26
5,(No title),Great,2026-06-26
5,(No title),Great app for Investment,2026-06-26
5,(No title),awesome,2026-06-26
4,(No title),good,2026-06-26
5,(No title),good,2026-06-26
3,(No title),Overall okay. If I set a trigger order it is valid for a year but if my funds are not used for some time you guys refund it without asking. The trigger order will then never go through. How can I navigate this?,2026-06-26
5,(No title),Best app Services,2026-06-26
4,(No title),acha h,2026-06-26
3,(No title),doog,2026-06-26
5,(No title),good,2026-06-26
5,(No title),thanks a lot,2026-06-26
1,(No title),fraud app in India?,2026-06-26
5,(No title),nice app,2026-06-26
2,(No title),previous format of revenue and profit is displayed by the company much better than the present format please provide previous format of revenue and profit,2026-06-26
1,(No title),my money was not recieved by bank account pls check my problem withdrwal transection completed showing but money not came😥,2026-06-26
5,(No title),very good app for trading f&O and stocks Trading and stock by or sell and all perpus for daily earning,2026-06-26
5,(No title),👍 nice,2026-06-26
1,(No title),mar jana per grow aap mai trading maat karna ye aap mai dikta kuch aur hai aur hota kuch aur hai late response profit mai close karoge toh lose mai close hota hai ek dam faltu aap hai...😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡,2026-06-26
5,(No title),good,2026-06-26
5,(No title),good nice,2026-06-26
5,(No title),nahi vggv0,2026-06-26
5,(No title),nec,2026-06-26
1,(No title),most pathetic app ever they removed all stocks display thinking I won't get to know what a shame,2026-06-26
5,(No title),good,2026-06-26
5,(No title),good,2026-06-26
3,(No title),Nice,2026-06-26
5,(No title),fuhdy,2026-06-26
1,(No title),beka app bhut late order punch hote h,2026-06-26
5,(No title),aap bohot achha he,2026-06-26
5,(No title),support another account,2026-06-26
1,(No title),fully programmed app for fno,2026-06-26
5,(No title),good,2026-06-26
5,(No title),very Good 😊,2026-06-26
5,(No title),very good app,2026-06-26
5,(No title),very good 😊👍,2026-06-26
5,(No title),good 👍🏻,2026-06-26
5,(No title),very good,2026-06-26
5,(No title),Good,2026-06-26
1,(No title),bahut kharab hai app ha es per mat karna future and options mera 2 trede ma 89 rupees tax pad gya loss par so mere samjh app log mat karo es par 😂🤣,2026-06-26
3,(No title),very beautiful😍😍,2026-06-26
5,(No title),I love app,2026-06-26
5,(No title),good,2026-06-26
5,(No title),it's just miraculous,2026-06-26
5,(No title),very good,2026-06-26
5,(No title),good 👍👍,2026-06-26
4,(No title),Shubham Kumar groww is growing with you,2026-06-26
5,(No title),good sarvice,2026-06-26
5,(No title),osm,2026-06-26
5,(No title),ujapul naesha,2026-06-26
5,(No title),best app for stock market,2026-06-26
5,(No title),good👍💯,2026-06-26
5,(No title),nice,2026-06-26
1,(No title),Too many hidden charges..per trade they charge around 100+ rupees,2026-06-26
5,(No title),sip best option,2026-06-26
5,(No title),radhe radhe,2026-06-26
5,(No title),good,2026-06-26
5,(No title),nice,2026-06-26
3,(No title),Dood,2026-06-26
4,(No title),dc8 81🌹🍆🍆🍆🌹😬☺️😮‍💨*a,2026-06-25
5,(No title),good for investing,2026-06-25
5,(No title),i ami satisfy,2026-06-25
1,(No title),"App interface is bad after this latest update. in mutual fund Dashboard section daily and overall profit were shown in Green Colour and Loss were Shown in Red Colour Font. Which was very convenient and clear. But after update Both Profit and Loss are showing in White colour font which is very confusing. Before this we were able to find profit and Loss very easily, only by seeing green & red colour. But not now. I request you to please Fix this issue as soon as possible.",2026-06-25
5,(No title),nice 🙂,2026-06-25
5,(No title),very nice app,2026-06-25
1,(No title),"In stock view , New companies UPDATED FINANCIAL PERFORMANCE is not better , Previous one is more better than new update",2026-06-25
5,(No title),very good,2026-06-25
4,(No title),why gr1 is not showing only once it shown,2026-06-25
1,(No title),thu worst app as I can't even edit so many ads ....worst,2026-06-25
1,(No title),cheaters beware of them.. they play with our money and take interest from that .. very bad,2026-06-25
5,(No title),radhe,2026-06-25
4,(No title),please add. GTT. Oder in commodity market,2026-06-25
2,(No title),new chart where quarterly and early profit and revenue are posted the new profit and revenue chart is so bad the privious chart was so good.,2026-06-25
5,(No title),good,2026-06-25
2,(No title),not bad 😄,2026-06-25
5,(No title),excellent,2026-06-25
3,(No title),"In the recent updates, the app is not working in the Android (Oppo Reno6 5G). Now whenever I try to open, it shows oops! something went wrong. Not understanding what went wrong",2026-06-25
5,(No title),awesome trading app,2026-06-25
1,(No title),"firstly, the latest version of app has deteriorated the home page user interface by squeezing the rise and fall of daily various indices trend placed at the top that display ed both points and percentage change together. Restore the older layout as soon as possible secondly, change in the display of financial statements like revenue and profits looks outdated , messy, confusing when compared to the previous designs and patterns",2026-06-25
5,(No title),nice 👍,2026-06-25
1,(No title),Good,2026-06-25
5,(No title),supab,2026-06-25
4,(No title),it has a good app for new stock traders but I learn many things from it and I also found a wrong that it can not be used as mutual fund properly i thought that they have to provide a seperate app for it,2026-06-25
5,(No title),excellent service,2026-06-25
5,(No title),very nice,2026-06-25
5,(No title),🥰👍👍👍,2026-06-25
5,(No title),good,2026-06-25
5,(No title),very nice aap..user friendly...915 platform is very good but brokerage is high..no glitch at all,2026-06-25
4,(No title),good one,2026-06-25
5,(No title),thank you,2026-06-25
4,(No title),good,2026-06-25
5,(No title),best,2026-06-25
